TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,payment type
1,2025-05-04,1034,2059,402,0.0,2048.2,21.0,Online
2,2025-05-04,1066,2048,403,1.0,321.87,11.0,Cash
3,2025-05-04,1116,2041,403,3.0,3216.84,7.0,Cash
4,2025-05-04,1071,2096,404,2.0,1613.23,6.0,Online
5,2025-05-04,1020,2060,401,0.0,408.38,13.0,Cash
6,2025-05-04,1089,2028,401,0.0,1275.88,6.0,Cash
7,2025-05-04,1193,2003,402,1.0,346.66,22.0,Cash
8,2025-05-04,1005,2079,402,1.0,855.49,24.0,Online
9,2025-05-04,1032,2060,401,1.0,735.08,0.0,Cash
10,2025-05-04,1119,2089,403,2.0,661.63,22.0,CreditCard
12,2025-05-04,1079,2013,401,2.0,0.0,6.0,Cash
14,2025-05-04,1183,2025,401,1.0,503.32,10.0,Cash
15,2025-05-04,1026,2089,403,0.0,413.52,6.0,CreditCard
16,2025-05-04,1144,2005,403,3.0,1715.12,1.0,Cash
17,2025-05-04,1169,2047,401,2.0,535.97,14.0,CreditCard
19,2025-05-04,1110,2046,404,1.0,30.09,13.0,Cash
20,2025-05-04,1111,2022,403,3.0,671.18,6.0,Cash
21,2025-05-04,1119,2055,403,2.0,731.26,21.0,Online
22,2025-05-04,1062,2011,403,3.0,1229.22,14.0,Online
23,2025-05-04,1062,2096,404,3.0,672.18,0.0,Online
24,2025-05-04,1086,2003,404,2.0,924.43,13.0,Online
25,2025-05-04,1046,2062,402,2.0,1981.95,5.0,Online
26,2025-05-04,1066,2043,403,2.0,698.76,17.0,CreditCard
27,2025-05-04,1142,2001,402,0.0,1237.05,0.0,Cash
28,2025-05-04,1061,2092,404,3.0,482.21,12.0,Cash
32,2025-05-04,1103,2088,402,2.0,0.0,4.0,CreditCard
33,2025-05-04,1169,2074,403,3.0,0.0,4.0,CreditCard
34,2025-05-04,1141,2067,403,3.0,872.85,23.0,Online
35,2025-05-04,1190,2070,403,2.0,54.69,0.0,Cash
36,2025-05-04,1179,2058,403,2.0,1066.8,11.0,CreditCard
37,2025-05-04,1064,2029,401,1.0,12.16,25.0,Online
38,2025-05-04,1080,2015,402,1.0,3037.36,14.0,Cash
39,2025-05-04,1055,2094,404,2.0,1578.72,15.0,CreditCard
40,2025-05-04,1185,2075,403,0.0,0.0,7.0,Online
42,2025-05-04,1045,2038,401,1.0,1667.72,22.0,Cash
43,2025-05-04,1070,2005,401,2.0,686.05,22.0,Cash
44,2025-05-04,1178,2016,404,0.0,0.0,21.0,CreditCard
45,2025-05-04,1003,2073,403,3.0,1498.29,23.0,Online
46,2025-05-04,1122,2056,403,1.0,944.5,11.0,Online
47,2025-05-04,1013,2032,404,0.0,2836.8,1.0,CreditCard
48,2025-05-04,1016,2051,404,0.0,117.32,1.0,Cash
49,2025-05-04,1147,2080,401,1.0,0.0,0.0,Cash
50,2025-05-04,1038,2072,403,0.0,840.6,21.0,CreditCard
51,2025-05-04,1063,2015,404,1.0,1214.95,2.0,Cash
52,2025-05-04,1198,2066,404,3.0,516.06,23.0,Cash
53,2025-05-04,1113,2038,404,2.0,2223.62,19.0,CreditCard
54,2025-05-04,1145,2079,401,0.0,1901.08,2.0,Cash
55,2025-05-04,1195,2026,402,2.0,507.74,8.0,Cash
56,2025-05-04,1169,2010,402,1.0,140.11,0.0,CreditCard
57,2025-05-04,1044,2070,401,1.0,0.0,25.0,Cash
58,2025-05-04,1000,2052,404,3.0,2193.78,21.0,CreditCard
59,2025-05-04,1074,2004,402,2.0,741.8,25.0,Cash
60,2025-05-04,1180,2036,404,0.0,217.98,0.0,Online
61,2025-05-04,1175,2029,403,1.0,36.48,4.0,Online
62,2025-05-04,1108,2014,402,1.0,221.67,24.0,Online
63,2025-05-04,1068,2018,401,0.0,2169.04,25.0,CreditCard
64,2025-05-04,1042,2039,403,3.0,2929.32,17.0,Cash
65,2025-05-04,1031,2059,403,3.0,0.0,10.0,Cash
66,2025-05-04,1069,2064,404,3.0,1470.2,24.0,Online
68,2025-05-04,1188,2041,403,0.0,1608.42,8.0,Online
69,2025-05-04,1023,2029,401,2.0,0.0,10.0,Cash
70,2025-05-04,1147,2005,402,3.0,0.0,24.0,CreditCard
71,2025-05-04,1132,2083,404,2.0,614.53,15.0,Cash
72,2025-05-04,1046,2074,404,3.0,659.5,18.0,CreditCard
73,2025-05-04,1023,2060,403,3.0,1225.14,8.0,CreditCard
74,2025-05-04,1085,2041,401,1.0,1447.58,4.0,Cash
75,2025-05-04,1084,2052,404,2.0,2925.04,2.0,Cash
76,2025-05-04,1169,2051,401,3.0,117.32,19.0,CreditCard
77,2025-05-04,1022,2040,403,2.0,55.26,11.0,CreditCard
79,2025-05-04,1168,2069,404,3.0,232.39,25.0,CreditCard
80,2025-05-04,1013,2024,403,3.0,372.81,23.0,Cash
81,2025-05-04,1160,2056,401,1.0,472.25,13.0,Online
82,2025-05-04,1068,2070,402,2.0,109.38,18.0,Online
83,2025-05-04,1112,2089,404,0.0,2067.6,17.0,Cash
84,2025-05-04,1007,2080,402,1.0,1498.07,5.0,CreditCard
85,2025-05-04,1079,2070,401,3.0,34.18,10.0,CreditCard
86,2025-05-04,1023,2028,401,3.0,2551.76,7.0,Cash
87,2025-05-04,1030,2082,402,3.0,799.8,4.0,CreditCard
88,2025-05-04,1183,2037,403,3.0,2160.84,6.0,Cash
89,2025-05-04,1123,2060,402,3.0,2450.28,16.0,Online
90,2025-05-04,1141,2018,404,1.0,2440.17,0.0,Online
91,2025-05-04,1153,2065,402,0.0,470.34,19.0,Cash
92,2025-05-04,1070,2098,404,2.0,0.0,12.0,Online
93,2025-05-04,1129,2034,401,2.0,108.94,12.0,Cash
94,2025-05-04,1185,2038,404,1.0,1667.72,16.0,CreditCard
95,2025-05-04,1114,2068,404,2.0,656.19,0.0,Cash
96,2025-05-04,1085,2070,404,3.0,0.0,19.0,Online
97,2025-05-04,1082,2024,402,3.0,372.81,4.0,Online
98,2025-05-04,1059,2099,404,0.0,1292.64,10.0,Cash
99,2025-05-04,1081,2095,404,3.0,490.79,8.0,CreditCard
100,2025-05-04,1098,2084,402,3.0,0.0,14.0,Online
101,2025-05-04,1009,2016,403,0.0,969.06,13.0,Online
102,2025-05-04,1112,2012,404,0.0,1869.57,18.0,CreditCard
103,2025-05-04,1184,2018,404,1.0,488.03,22.0,Online
104,2025-05-04,1019,2060,403,2.0,0.0,0.0,Cash
105,2025-05-04,1159,2088,404,0.0,0.0,18.0,Cash
106,2025-05-04,1084,2086,404,2.0,2861.12,22.0,CreditCard
107,2025-05-04,1160,2091,404,0.0,905.79,8.0,Online
108,2025-05-04,1158,2008,402,2.0,159.82,1.0,CreditCard
109,2025-05-04,1058,2095,401,3.0,2453.95,17.0,Online
110,2025-05-04,1025,2097,401,3.0,842.1,24.0,Online
111,2025-05-04,1042,2088,403,0.0,709.35,7.0,Online
112,2025-05-04,1011,2041,401,2.0,0.0,10.0,CreditCard
113,2025-05-04,1091,2047,404,1.0,0.0,8.0,Cash
114,2025-05-04,1062,2067,404,1.0,0.0,8.0,Cash
115,2025-05-04,1043,2022,401,3.0,2684.72,23.0,Online
116,2025-05-04,1158,2087,402,3.0,477.96,11.0,Online
117,2025-05-04,1149,2018,402,3.0,1626.78,3.0,CreditCard
118,2025-05-04,1163,2032,404,2.0,756.48,10.0,Online
119,2025-05-04,1170,2001,404,2.0,659.76,23.0,Cash
120,2025-05-04,1173,2069,402,0.0,464.78,23.0,Cash
121,2025-05-04,1113,2044,403,3.0,0.0,23.0,Online
122,2025-05-04,1176,2032,404,2.0,756.48,4.0,CreditCard
123,2025-05-04,1050,2049,404,0.0,2819.52,16.0,CreditCard
124,2025-05-04,1060,2048,403,2.0,1144.42,20.0,CreditCard
125,2025-05-04,1179,2037,401,3.0,1440.56,11.0,Online
126,2025-05-04,1070,2001,401,3.0,0.0,22.0,CreditCard
127,2025-05-04,1073,2099,402,2.0,0.0,20.0,Cash
128,2025-05-04,1056,2081,402,2.0,0.0,24.0,Online
129,2025-05-04,1173,2096,402,0.0,672.18,1.0,Online
130,2025-05-04,1160,2082,401,2.0,426.56,7.0,Cash
131,2025-05-04,1112,2004,403,1.0,1669.05,19.0,Cash
132,2025-05-04,1023,2037,403,3.0,2160.84,21.0,Cash
133,2025-05-04,1044,2025,402,2.0,223.7,18.0,Cash
134,2025-05-04,1135,2064,403,1.0,793.91,22.0,Online
135,2025-05-04,1065,2061,403,2.0,639.74,19.0,Online
136,2025-05-04,1029,2059,401,1.0,921.69,9.0,Cash
137,2025-05-04,1193,2028,404,2.0,1531.06,10.0,Online
138,2025-05-04,1023,2050,401,2.0,298.85,8.0,CreditCard
139,2025-05-04,1137,2015,404,2.0,539.98,14.0,CreditCard
140,2025-05-04,1172,2095,403,3.0,2453.95,3.0,Online
141,2025-05-04,1163,2047,401,1.0,301.48,12.0,Cash
142,2025-05-04,1120,2003,403,1.0,1039.99,24.0,Cash
143,2025-05-04,1165,2008,404,2.0,53.27,11.0,CreditCard
144,2025-05-04,1166,2052,401,1.0,658.13,13.0,CreditCard
146,2025-05-04,1029,2012,402,1.0,0.0,10.0,CreditCard
147,2025-05-04,1099,2058,403,3.0,666.75,8.0,Online
148,2025-05-04,1150,2095,402,3.0,490.79,19.0,Cash
149,2025-05-04,1167,2012,404,3.0,0.0,6.0,Cash
150,2025-05-04,1071,2004,403,1.0,834.52,25.0,Cash
151,2025-05-04,1113,2056,402,2.0,839.55,4.0,Online
152,2025-05-04,1025,2087,403,2.0,0.0,13.0,CreditCard
153,2025-05-04,1015,2050,403,1.0,504.31,18.0,Cash
154,2025-05-04,1031,2058,401,1.0,2400.3,5.0,Online
155,2025-05-04,1164,2081,401,0.0,2984.88,3.0,Cash
156,2025-05-04,1085,2031,402,1.0,508.77,15.0,CreditCard
